cityname,provincename,countryname
Birao,Vakaga,Central African Republic
Ouadda,Haute-Kotto,Central African Republic
Bangassou,Mbomou,Central African Republic
Bossembele,Bangui,Central African Republic
Berberati,Mambéré-Kadéï,Central African Republic
Bria,Haute-Kotto,Central African Republic
Bouar,Nana-Mambéré,Central African Republic
Bambari,Ouaka,Central African Republic
Ndele,Bamingui-Bangoran,Central African Republic
Obo,Haut-Mbomou,Central African Republic
Bangui,Bangui,Central African Republic
Lai,Tandjilé,Chad
Zouar,Bet,Chad
Bol,Lac,Chad
Ati,Batha,Chad
Oum Hadjer,Batha,Chad
Mongo,Guéra,Chad
Doba,Logone Oriental,Chad
Pala,Mayo-Kebbi Est,Chad
Bongor,Mayo-Kebbi Est,Chad
Kelo,Tandjilé,Chad
Fada,Bet,Chad
Faya Largeau,Bet,Chad
Mao,Kanem,Chad
Biltine,Wadi Fira,Chad
Sarh,Mandoul,Chad
Am Timan,Salamat,Chad
Moundou,Logone Oriental,Chad
Ndjamena,Hadjer-Lamis,Chad
Abeche,Ouaddaï,Chad
Rio Verde,Magallanes y Antártica Chilena,Chile
Cuya,Tarapacá,Chile
Chuquicamata,Antofagasta,Chile
Maria Elena,Antofagasta,Chile
Tierra Amarilla,Atacama,Chile
Combarbala,Coquimbo,Chile
San Bernardo,Región Metropolitana de Santiago,Chile
San Felipe,Valparaíso,Chile
Vina del Mar,Valparaíso,Chile
La Ligua,Valparaíso,Chile
Quillota,Valparaíso,Chile
Nueva Imperial,La Araucanía,Chile
Loncoche,La Araucanía,Chile
Villarica,La Araucanía,Chile
Tolten,La Araucanía,Chile
Lonquimay,La Araucanía,Chile
Angol,La Araucanía,Chile
Collipulli,La Araucanía,Chile
La Union,Los Ríos,Chile
Rio Bueno,Los Ríos,Chile
Coronel,Bío-Bío,Chile
Talcahuano,Bío-Bío,Chile
Quirihue,Bío-Bío,Chile
Curanilahue,Bío-Bío,Chile
Santa Barbara,Bío-Bío,Chile
Pichilemu,Libertador General Bernardo O'Higgins,Chile
San Fernando,Libertador General Bernardo O'Higgins,Chile
Puerto Varas,Los Lagos,Chile
Calbuco,Los Lagos,Chile
Castro,Los Lagos,Chile
Chonchi,Los Lagos,Chile
Linares,Maule,Chile
Cauquenes,Maule,Chile
Cochrane,Aisén del General Carlos Ibáñez del Campo,Chile
Lagunas,Tarapacá,Chile
Pozo Almonte,Tarapacá,Chile
Toconao,Antofagasta,Chile
Huasco,Atacama,Chile
Diego de Almagro,Atacama,Chile
Caldera,Atacama,Chile
Coquimbo,Coquimbo,Chile
Vicuna,Coquimbo,Chile
Illapel,Coquimbo,Chile
Salamanca,Coquimbo,Chile
Los Andes,Valparaíso,Chile
San Antonio,Valparaíso,Chile
Victoria,La Araucanía,Chile
Carahue,La Araucanía,Chile
Los Lagos,Los Ríos,Chile
Lota,Bío-Bío,Chile
Lebu,Bío-Bío,Chile
Quellon,Los Lagos,Chile
Constitucion,Maule,Chile
Villa O'Higgins,Santa Cruz,Chile
Puerto Aisen,Aisén del General Carlos Ibáñez del Campo,Chile
Puerto Natales,Magallanes y Antártica Chilena,Chile
Puerto Williams,Magallanes y Antártica Chilena,Chile
Temuco,La Araucanía,Chile
Tocopilla,Antofagasta,Chile
Calama,Antofagasta,Chile
Mejillones,Antofagasta,Chile
Taltal,Antofagasta,Chile
Vallenar,Atacama,Chile
Chanaral,Atacama,Chile
Ovalle,Coquimbo,Chile
Chillan,Bío-Bío,Chile
Rancagua,Libertador General Bernardo O'Higgins,Chile
Osorno,Los Lagos,Chile
Ancud,Los Lagos,Chile
Talca,Maule,Chile
Curico,Maule,Chile
Coihaique,Aisén del General Carlos Ibáñez del Campo,Chile
Arica,Arica y Parinacota,Chile
Copiapo,Atacama,Chile
La Serena,Coquimbo,Chile
Los Angeles,Bío-Bío,Chile
Punta Arenas,Magallanes y Antártica Chilena,Chile
Iquique,Tarapacá,Chile
Antofagasta,Antofagasta,Chile
Valparaiso,Valparaíso,Chile
Valdivia,Los Ríos,Chile
Concepcion,Bío-Bío,Chile
Puerto Montt,Los Lagos,Chile
Santiago,Región Metropolitana de Santiago,Chile
Yumen,Gansu,China
Linxia,Gansu,China
Zuozhou,Beijing,China
Sanming,Fujian,China
Huizhou,Guangdong,China
Chaozhou,Guangdong,China
Gyangze,Xizang,China
Dali,Shaanxi,China
Yangquan,Shanxi,China
Shiyan,Hubei,China
Danjiangkou,Hubei,China
Shashi,Hubei,China
Anlu,Hubei,China
Zixing,Hunan,China
Deyang,Sichuan,China
Tengchong,Yunnan,China
Mengzi,Yunnan,China
Chuxiong,Yunnan,China
Hengshui,Hebei,China
Xuanhua,Hebei,China
Luohe,Henan,China
Beipiao,Liaoning,China
Wafangdian,Liaoning,China
Zhucheng,Shandong,China
Hangu,Tianjin,China
Xinyi,Jiangsu,China
Yangzhou,Jiangsu,China
Linhai,Zhejiang,China
Huangyan,Zhejiang,China
Daan,Jilin,China
Changling,Jilin,China
Tonghua,Jilin,China
Baishan,Jilin,China
Yanji,Jilin,China
Ergun Zuoqi,Nei Mongol,China
Shangdu,Nei Mongol,China
Orongen Zizhiqi,Nei Mongol,China
Zalantun,Nei Mongol,China
Wuchuan,Nei Mongol,China
Hanggin Houqi,Nei Mongol,China
Anda,Heilongjiang,China
Qinggang,Heilongjiang,China
Angangxi,Heilongjiang,China
Hulan Ergi,Heilongjiang,China
Qingan,Heilongjiang,China
Baiquan,Heilongjiang,China
Suileng,Heilongjiang,China
Linkou,Heilongjiang,China
Longxi,Gansu,China
Pingliang,Gansu,China
Anxi,Gansu,China
Minxian,Gansu,China
Jinchang,Gansu,China
Guide,Gansu,China
Qinzhou,Guangxi,China
Pingxiang,Guangxi,China
Yishan,Guangxi,China
Beihai,Guangxi,China
Hechi,Guangxi,China
Tongren,Guizhou,China
Fengjie,Chongqing,China
Changping,Beijing,China
Shaowu,Fujian,China
Longyan,Fujian,China
Zhangzhou,Fujian,China
Putian,Fujian,China
Fuan,Fujian,China
Changting,Fujian,China
Nanping,Fujian,China
Ninde,Fujian,China
Jieshou,Anhui,China
Tongling,Anhui,China
Maanshan,Anhui,China
Fuyang,Anhui,China
Yangjiang,Guangdong,China
Meizhou,Guangdong,China
Heyuan,Guangdong,China
Qingyuan,Guangdong,China
Zhaoqing,Guangdong,China
Lianxian,Guangdong,China
Jiangmen,Guangdong,China
Maoming,Guangdong,China
Gar,Xizang,China
Turpan,Xinjiang Uygur,China
Quiemo,Xinjiang Uygur,China
Koktokay,Xinjiang Uygur,China
Hancheng,Shaanxi,China
Weinan,Shaanxi,China
Shuozhou,Shanxi,China
Xinzhou,Shanxi,China
Jincheng,Shanxi,China
Jiexiu,Shanxi,China
Changzhi,Shanxi,China
Guangshui,Hubei,China
Jingmen,Hubei,China
Zicheng,Hubei,China
Shishou,Hubei,China
Xiaogan,Hubei,China
Puqi,Hubei,China
Yunxian,Hubei,China
Jinshi,Hunan,China
Chenzhou,Hunan,China
Zhijiang,Hunan,China
Xiangtan,Hunan,China
Zigong,Sichuan,China
Yaan,Sichuan,China
Langzhong,Sichuan,China
Rongzhag,Sichuan,China
Simao,Yunnan,China
Wenshan,Yunnan,China
Zhanyi,Yunnan,China
Huize,Yunnan,China
Chengde,Hebei,China
Cangzhou,Hebei,China
Baoding,Hebei,China
Hunanghua,Hebei,China
Dingzhou,Hebei,China
Nangong,Hebei,China
Linqing,Hebei,China
Xiangtai,Hebei,China
Puyang,Henan,China
Hebi,Henan,China
Xuchang,Henan,China
Zhoukou,Henan,China
Dengzhou,Henan,China
Tieling,Liaoning,China
Chaoyang,Liaoning,China
Huanren,Liaoning,China
Zhuanghe,Liaoning,China
Yishui,Shandong,China
Shanxian,Shandong,China
Pingyi,Shandong,China
Pingdu,Shandong,China
Laiwu,Shandong,China
Buizhou,Shandong,China
Liaocheng,Shandong,China
Rizhao,Shandong,China
Dezhou,Shandong,China
Linchuan,Jiangxi,China
Fengcheng,Jiangxi,China
Jian,Jiangxi,China
Shangrao,Jiangxi,China
Jingdezhen,Jiangxi,China
Taizhou,Jiangsu,China
Shuyang,Jiangsu,China
Lianyungang,Jiangsu,China
Lishui,Zhejiang,China
Jiaojing,Zhejiang,China
Quzhou,Zhejiang,China
Fuyu,Jilin,China
Dunhua,Jilin,China
Nongan,Jilin,China
Taonan,Jilin,China
Liuhe,Jilin,China
Huinan,Jilin,China
Panshi,Jilin,China
Jiaohe,Jilin,China
Linjiang,Jilin,China
Wangqing,Jilin,China
Helong,Jilin,China
Shulan,Jilin,China
Jiutai,Jilin,China
Alxa Zuoqi,Nei Mongol,China
Linxi,Nei Mongol,China
Kailu,Nei Mongol,China
Bairin Zuoqi,Nei Mongol,China
Yitulihe,Nei Mongol,China
Yakeshi,Nei Mongol,China
Bugt,Nei Mongol,China
Wuyuan,Nei Mongol,China
Bayan Obo,Nei Mongol,China
Fengzhen,Nei Mongol,China
Suihua,Heilongjiang,China
Shuangyashan,Heilongjiang,China
Shangzhi,Heilongjiang,China
Fujin,Heilongjiang,China
Yian,Heilongjiang,China
Tailai,Heilongjiang,China
Longjiang,Heilongjiang,China
Gannan,Heilongjiang,China
Hailun,Heilongjiang,China
Mishan,Heilongjiang,China
Tieli,Heilongjiang,China
Shuangcheng,Heilongjiang,China
Zhaodong,Heilongjiang,China
Lanxi,Heilongjiang,China
Keshan,Heilongjiang,China
Nancha,Heilongjiang,China
Xinqing,Heilongjiang,China
Hulin,Heilongjiang,China
Boli,Heilongjiang,China
Ningan,Heilongjiang,China
Jyekundo,Gansu,China
Liuzhou,Guangxi,China
Xingyi,Guizhou,China
Anshun,Guizhou,China
Zunyi,Guizhou,China
Wanxian,Chongqing,China
Huaibei,Anhui,China
Wuhu,Anhui,China
Luan,Anhui,China
Bengbu,Anhui,China
Anqing,Anhui,China
Foshan,Guangdong,China
Nagchu,Xizang,China
Nyingchi,Xizang,China
Chamdo,Xizang,China
Korla,Xinjiang Uygur,China
Kuqa,Xinjiang Uygur,China
Tacheng,Xinjiang Uygur,China
Shihezi,Xinjiang Uygur,China
Karamay,Xinjiang Uygur,China
Aksu,Xinjiang Uygur,China
Sanya,Hainan,China
Haikou,Hainan,China
Hanzhong,Shaanxi,China
Baoji,Shaanxi,China
Tongchuan,Shaanxi,China
Linfen,Shanxi,China
Yuci,Shanxi,China
Datong,Shanxi,China
Jianmen,Hubei,China
Yichang,Hubei,China
Xiantao,Hubei,China
Macheng,Hubei,China
Huangshi,Hubei,China
Zhuzhou,Hunan,China
Yongzhou,Hunan,China
Yiyang,Hunan,China
Changde,Hunan,China
Shaoyang,Hunan,China
Leshan,Sichuan,China
Panzhihua,Sichuan,China
Fulin,Sichuan,China
Guangyuan,Sichuan,China
Luzhou,Sichuan,China
Yibin,Sichuan,China
Zhaotang,Yunnan,China
Lijiang,Yunnan,China
Yuxi,Yunnan,China
Dali,Yunnan,China
Qinhuangdao,Hebei,China
Langfang,Hebei,China
Zhangjiakou,Hebei,China
Tangshan,Hebei,China
Anyang,Henan,China
Jiaozuo,Henan,China
Kaifeng,Henan,China
Shangqiu,Henan,China
Pingdingshan,Henan,China
Xinyang,Henan,China
Xinxiang,Henan,China
Luoyang,Henan,China
Liaoyang,Liaoning,China
Dandong,Liaoning,China
Yingkow,Liaoning,China
Jinzhou,Liaoning,China
Fuxin,Liaoning,China
Benxi,Liaoning,China
Fushun,Liaoning,China
Jining,Shandong,China
Weifang,Shandong,China
Taian,Shandong,China
Heze,Shandong,China
Laiyang,Shandong,China
Xinyu,Jiangxi,China
Ganzhou,Jiangxi,China
Jiujiang,Jiangxi,China
Changzhou,Jiangsu,China
Zhenjiang,Jiangsu,China
Nantong,Jiangsu,China
Jiaxing,Zhejiang,China
Huzhou,Zhejiang,China
Shaoxing,Zhejiang,China
Jinhua,Zhejiang,China
Liaoyuan,Jilin,China
Tumen,Jilin,China
Siping,Jilin,China
Baicheng,Jilin,China
Wuhai,Nei Mongol,China
Erenhot,Nei Mongol,China
Jining,Nei Mongol,China
Arxan,Nei Mongol,China
Manzhouli,Nei Mongol,China
Xilinhot,Nei Mongol,China
Heihe,Heilongjiang,China
Qitaihe,Heilongjiang,China
Yichun,Heilongjiang,China
Hegang,Heilongjiang,China
Nenjiang,Heilongjiang,China
Nehe,Heilongjiang,China
Mudangiang,Heilongjiang,China
Xuanzhou,Anhui,China
Zhuhai,Guangdong,China
Xianyang,Shaanxi,China
Xiangfan,Hubei,China
Suining,Sichuan,China
Lingyuan,Liaoning,China
Weihai,Shandong,China
Yichun,Jiangxi,China
Yancheng,Jiangsu,China
Fuyang,Zhejiang,China
Xiamen,Fujian,China
Nanchong,Sichuan,China
Neijiang,Sichuan,China
Nanyang,Henan,China
Jinxi,Liaoning,China
Yantai,Shandong,China
Zaozhuang,Shandong,China
Suzhou,Jiangsu,China
Xuzhou,Jiangsu,China
Wuxi,Jiangsu,China
Jilin,Jilin,China
Zhangye,Gansu,China
Wuwei,Gansu,China
Dunhuang,Gansu,China
Tianshui,Gansu,China
Dulan,Gansu,China
Golmud,Gansu,China
Yulin,Guangxi,China
Bose,Guangxi,China
Wuzhou,Guangxi,China
Lupanshui,Guizhou,China
Quanzhou,Fujian,China
Hefei,Anhui,China
Suzhou,Anhui,China
Zhanjiang,Guangdong,China
Shaoguan,Guangdong,China
Xigaze,Xizang,China
Shache,Xinjiang Uygur,China
Yining,Xinjiang Uygur,China
Altay,Xinjiang Uygur,China
Shizuishan,Ningxia Hui,China
Yulin,Shaanxi,China
Ankang,Shaanxi,China
Houma,Shanxi,China
Yueyang,Hunan,China
Hengyang,Hunan,China
Mianyang,Sichuan,China
Xichang,Sichuan,China
Baoshan,Yunnan,China
Gejiu,Yunnan,China
Shijianzhuang,Hebei,China
Handan,Hebei,China
Anshan,Liaoning,China
Dalian,Liaoning,China
Qingdao,Shandong,China
Linyi,Shandong,China
Huaiyin,Jiangsu,China
Wenzhou,Zhejiang,China
Ningbo,Zhejiang,China
Tongliao,Nei Mongol,China
Hohhot,Nei Mongol,China
Chifeng,Nei Mongol,China
Ulanhot,Nei Mongol,China
Hailar,Nei Mongol,China
Jiamusi,Heilongjiang,China
Beian,Heilongjiang,China
Daqing,Heilongjiang,China
Jixi,Heilongjiang,China
Jiayuguan,Gansu,China
Xining,Gansu,China
Guilin,Guangxi,China
Huainan,Anhui,China
Shantou,Guangdong,China
Lhasa,Xizang,China
Hami,Xinjiang Uygur,China
Hotan,Xinjiang Uygur,China
Kashi,Xinjiang Uygur,China
Yinchuan,Ningxia Hui,China
Pingxiang,Jiangxi,China
Qiqihar,Heilongjiang,China
Shenzhen,Guangdong,China
Zibo,Shandong,China
Lanzhou,Gansu,China
Nanning,Guangxi,China
Guiyang,Guizhou,China
Chongqing,Chongqing,China
Fuzhou,Fujian,China
Guangzhou,Guangdong,China
Dongguan,Guangdong,China
Xian,Shaanxi,China
Taiyuan,Shanxi,China
Wuhan,Hubei,China
Changsha,Hunan,China
Kunming,Yunnan,China
Zhengzhou,Henan,China
Shenyeng,Liaoning,China
Jinan,Shandong,China
Tianjin,Tianjin,China
Nanchang,Jiangxi,China
Nanjing,Jiangsu,China
Hangzhou,Zhejiang,China
Changchun,Jilin,China
Baotou,Nei Mongol,China
Harbin,Heilongjiang,China
Urumqi,Xinjiang Uygur,China
Chengdu,Sichuan,China
Beijing,Beijing,China
Shanghai,Shanghai,China
Yopal,Casanare,Colombia
Sonson,Antioquia,Colombia
Sogamoso,Boyacá,Colombia
Barrancabermeja,Santander,Colombia
Girardot,Cundinamarca,Colombia
Campoalegre,Huila,Colombia
Tuquerres,Nariño,Colombia
Mocoa,Putumayo,Colombia
Cartago,Valle del Cauca,Colombia
Soledad,Atlántico,Colombia
Sabanalarga,Atlántico,Colombia
Arjona,Bolívar,Colombia
Magangue,Bolívar,Colombia
Valledupar,Cesar,Colombia
San Jose del Guaviare,Meta,Colombia
Puerto Lopez,Meta,Colombia
Yarumal,Antioquia,Colombia
Puerto Berrio,Antioquia,Colombia
Turbo,Antioquia,Colombia
Tunja,Boyacá,Colombia
Chiquinquira,Boyacá,Colombia
Duitama,Boyacá,Colombia
Ayapel,Córdoba,Colombia
Lorica,Córdoba,Colombia
Socorro,Santander,Colombia
Riohacha,La Guajira,Colombia
Armenia,Quindío,Colombia
Pereira,Risaralda,Colombia
Honda,Tolima,Colombia
San Vicente del Caguan,Caquetá,Colombia
Florencia,Caquetá,Colombia
Guapi,Cauca,Colombia
Neiva,Huila,Colombia
Garzon,Huila,Colombia
Ipiales,Nariño,Colombia
Buenaventura,Valle del Cauca,Colombia
Tulua,Valle del Cauca,Colombia
El Carmen de Bolivar,Bolívar,Colombia
Jurado,Chocó,Colombia
Nuqui,Chocó,Colombia
Quibdo,Chocó,Colombia
El Banco,Magdalena,Colombia
Cienaga,Magdalena,Colombia
Sincelejo,Sucre,Colombia
Tolu,Sucre,Colombia
Arauca,Arauca,Colombia
Tame,Arauca,Colombia
Pamplona,Norte de Santander,Colombia
Ocana,Norte de Santander,Colombia
Orocue,Casanare,Colombia
Obando,Guainía,Colombia
San Martin,Meta,Colombia
Puerto Carreno,Vichada,Colombia
Bello,Antioquia,Colombia
Monteria,Córdoba,Colombia
Bucaramanga,Santander,Colombia
Ibague,Tolima,Colombia
Popayan,Cauca,Colombia
Santa Marta,Magdalena,Colombia
Cucuta,Norte de Santander,Colombia
Villavicencio,Meta,Colombia
Tumaco,Nariño,Colombia
Manizales,Caldas,Colombia
Pasto,Nariño,Colombia
Barranquilla,Atlántico,Colombia
Cartagena,Bolívar,Colombia
Mitu,Vaupés,Colombia
Leticia,Amazonas,Colombia
Medellin,Antioquia,Colombia
Cali,Valle del Cauca,Colombia
Bogota,Bogota,Colombia
Madingou,Bouenza,Republic of the Congo
Kinkala,Pool,Republic of the Congo
Ewo,Cuvette-Ouest,Republic of the Congo
Impfondo,Likouala,Republic of the Congo
Sembe,Sangha,Republic of the Congo
Moloundou,Sangha,Republic of the Congo
Owando,Cuvette,Republic of the Congo
Makoua,Cuvette,Republic of the Congo
Sibiti,Lékoumou,Republic of the Congo
Mossendjo,Niari,Republic of the Congo
Loubomo,Niari,Republic of the Congo
Gamboma,Plateaux,Republic of the Congo
Djambala,Plateaux,Republic of the Congo
Ouesso,Sangha,Republic of the Congo
Kayes,Bouenza,Republic of the Congo
Pointe-Noire,Kouilou,Republic of the Congo
Brazzaville,Pool,Republic of the Congo
Buluko,Nord-Kivu,Republic of the Congo
Zongo,Équateur,Republic of the Congo
Libenge,Équateur,Republic of the Congo
Bongandanga,Équateur,Republic of the Congo
Ikela,Équateur,Republic of the Congo
Binga,Équateur,Republic of the Congo
Basankusu,Équateur,Republic of the Congo
Boende,Équateur,Republic of the Congo
Gbadolite,Équateur,Republic of the Congo
Businga,Équateur,Republic of the Congo
Bosobolo,Équateur,Republic of the Congo
Yangambi,Orientale,Republic of the Congo
Aketi,Orientale,Republic of the Congo
Mongbwalu,Orientale,Republic of the Congo
Bafwasende,Orientale,Republic of the Congo
Bunia,Orientale,Republic of the Congo
Wamba,Orientale,Republic of the Congo
Basoko,Orientale,Republic of the Congo
Kenge,Bandundu,Republic of the Congo
Bolobo,Bandundu,Republic of the Congo
Kahemba,Bandundu,Republic of the Congo
Bulungu,Bandundu,Republic of the Congo
Lusanga,Bandundu,Republic of the Congo
Mangai,Bandundu,Republic of the Congo
Kasongo-Lunda,Bandundu,Republic of the Congo
Mushie,Bandundu,Republic of the Congo
Dibaya,Kasaï-Occidental,Republic of the Congo
Mweka,Kasaï-Occidental,Republic of the Congo
Luebo,Kasaï-Occidental,Republic of the Congo
Demba,Kasaï-Occidental,Republic of the Congo
Ilebo,Kasaï-Occidental,Republic of the Congo
Moanda,Bas-Congo,Republic of the Congo
Kimpese,Bas-Congo,Republic of the Congo
Kasangulu,Bas-Congo,Republic of the Congo
Mbanza-Ngungu,Bas-Congo,Republic of the Congo
Tshela,Bas-Congo,Republic of the Congo
Mwenga,Sud-Kivu,Republic of the Congo
Kampene,Maniema,Republic of the Congo
Kalima,Maniema,Republic of the Congo
Lubutu,Maniema,Republic of the Congo
Kabinda,Kasaï-Oriental,Republic of the Congo
Lubao,Kasaï-Oriental,Republic of the Congo
Lusambo,Kasaï-Oriental,Republic of the Congo
Gandajika,Kasaï-Oriental,Republic of the Congo
Lodja,Kasaï-Oriental,Republic of the Congo
Dilolo,Katanga,Republic of the Congo
Nyunzu,Katanga,Republic of the Congo
Kasaji,Katanga,Republic of the Congo
Luanza,Katanga,Republic of the Congo
Moba,Katanga,Republic of the Congo
Bukama,Katanga,Republic of the Congo
Kaniama,Katanga,Republic of the Congo
Kipushi,Katanga,Republic of the Congo
Kambove,Katanga,Republic of the Congo
Kongolo,Katanga,Republic of the Congo
Kabalo,Katanga,Republic of the Congo
Beni,Nord-Kivu,Republic of the Congo
Lisala,Équateur,Republic of the Congo
Gemena,Équateur,Republic of the Congo
Buta,Orientale,Republic of the Congo
Watsa,Orientale,Republic of the Congo
Isiro,Orientale,Republic of the Congo
Bondo,Orientale,Republic of the Congo
Inongo,Bandundu,Republic of the Congo
Tshikapa,Kasaï-Occidental,Republic of the Congo
Boma,Bas-Congo,Republic of the Congo
Bukavu,Sud-Kivu,Republic of the Congo
Uvira,Sud-Kivu,Republic of the Congo
Kindu,Maniema,Republic of the Congo
Mwene-Ditu,Kasaï-Oriental,Republic of the Congo
Likasi,Katanga,Republic of the Congo
Manono,Katanga,Republic of the Congo
Kamina,Katanga,Republic of the Congo
Mbandaka,Équateur,Republic of the Congo
Kisangani,Orientale,Republic of the Congo
Bandundu,Bandundu,Republic of the Congo
Kananga,Kasaï-Occidental,Republic of the Congo
Kasongo,Maniema,Republic of the Congo
Mbuji-Mayi,Kasaï-Oriental,Republic of the Congo
Kalemie,Katanga,Republic of the Congo
Butembo,Nord-Kivu,Republic of the Congo
Goma,Nord-Kivu,Republic of the Congo
Bumba,Équateur,Republic of the Congo
Kikwit,Bandundu,Republic of the Congo
Matadi,Bas-Congo,Republic of the Congo
Kolwezi,Katanga,Republic of the Congo
Lubumbashi,Katanga,Republic of the Congo
Kinshasa,Kinshasa City,Republic of the Congo
Heredia,Heredia,Costa Rica
Cartago,Cartago,Costa Rica
Golfito,Puntarenas,Costa Rica
Alajuela,Alajuela,Costa Rica
Canas,Guanacaste,Costa Rica
Sixaola,Limón,Costa Rica
Puntarenas,Puntarenas,Costa Rica
Ciudad Cortes,Puntarenas,Costa Rica
Quesada,Alajuela,Costa Rica
Liberia,Guanacaste,Costa Rica
La Cruz,Guanacaste,Costa Rica
Puerto Limon,Limón,Costa Rica
San Jose,San José,Costa Rica
Sibenik,Šibensko-Kninska,Croatia
Karlovac,Karlovacka,Croatia
Rijeka,Primorsko-Goranska,Croatia
Slavonski Brod,Brodsko-Posavska,Croatia
Dubrovnik,Dubrovacko-Neretvanska,Croatia
Split,Splitsko-Dalmatinska,Croatia
Zadar,Zadarska,Croatia
Pula,Istarska,Croatia
Osijek,Osjecko-Baranjska,Croatia
Zagreb,Grad Zagreb,Croatia
Ciego de Avila,Ciego de Ávila,Cuba
Palma Soriano,Santiago de Cuba,Cuba
San Antonio de los Banos,La Habana,Cuba
Guines,La Habana,Cuba
Caibarien,Villa Clara,Cuba
Placetas,Villa Clara,Cuba
Cienfuegos,Cienfuegos,Cuba
Nueva Gerona,Isla de la Juventud,Cuba
Sancti Spiritus,Sancti Spíritus,Cuba
Moron,Ciego de Ávila,Cuba
Nuevitas,Camagüey,Cuba
Manzanillo,Granma,Cuba
Bayamo,Granma,Cuba
Banes,Holguín,Cuba
Las Tunas,Las Tunas,Cuba
Artemisa,La Habana,Cuba
Matanzas,Matanzas,Cuba
Colon,Matanzas,Cuba
Sagua la Grande,Villa Clara,Cuba
Pinar del Rio,Pinar del Río,Cuba
Camaguey,Camagüey,Cuba
Guantanamo,Guantánamo,Cuba
Holguin,Holguín,Cuba
Santa Clara,Villa Clara,Cuba
Santiago de Cuba,Santiago de Cuba,Cuba
Havana,Ciudad de la Habana,Cuba
Larnaka,Larnaca,Cyprus
Paphos,Paphos,Cyprus
Lemosos,Limassol,Cyprus
Usti Nad Labem,Liberecký,Czech Republic
Hradec Kralove,Královéhradecký,Czech Republic
Ceske Budejovice,Jihoceský,Czech Republic
Liberec,Liberecký,Czech Republic
Olomouc,Moravskoslezský,Czech Republic
Pizen,Karlovarský,Czech Republic
Jihlava,Kraj Vysocina,Czech Republic
Zlin,Kraj Vysocina,Czech Republic
Brno,Kraj Vysocina,Czech Republic
Pardubice,Královéhradecký,Czech Republic
Ostrava,Moravskoslezský,Czech Republic
Prague,Prague,Czech Republic
Vejle,Syddanmark,Denmark
Hillerod,Hovedstaden,Denmark
Soro,Sjaælland,Denmark
Viborg,Midtjylland,Denmark
Roskilde,Sjaælland,Denmark
Svendborg,Syddanmark,Denmark
Odense,Syddanmark,Denmark
Esbjerg,Syddanmark,Denmark
Frederikshavn,Nordjylland,Denmark
Aalborg,Nordjylland,Denmark
Aarhus,Midtjylland,Denmark
Kobenhavn,Hovedstaden,Denmark
Dikhil,Dikhil,Djibouti
Tadjoura,Tadjourah,Djibouti
Ali Sabih,Ali Sabieh,Djibouti
Obock,Obock,Djibouti
Djibouti,Djibouti,Djibouti
Roseau,Saint George,Dominica
Sabaneta,Santiago Rodríguez,Dominican Republic
Mao,Valverde,Dominican Republic
Cotui,Sánchez Ramírez,Dominican Republic
Puerto Plata,Puerto Plata,Dominican Republic
Dajabon,Dajabón,Dominican Republic
Moca,Espaillat,Dominican Republic
Salcedo,Hermanas,Dominican Republic
Jimani,Independencia,Dominican Republic
Elias Pina,Elias Pina,Dominican Republic
Pedernales,Pedernales,Dominican Republic
Azua,Azua,Dominican Republic
Bonao,Monseñor Nouel,Dominican Republic
Bani,Peravia,Dominican Republic
Hato Mayor,Hato Mayor,Dominican Republic
Monte Plata,Monte Plata,Dominican Republic
Nagua,María Trinidad Sánchez,Dominican Republic
Samana,Samaná,Dominican Republic
San Cristobal,San Cristóbal,Dominican Republic
El Seibo,El Seybo,Dominican Republic
Higuey,La Altagracia,Dominican Republic
Neiba,Bahoruco,Dominican Republic
La Vega,La Vega,Dominican Republic
San Francisco de Macoris,Duarte,Dominican Republic
San Pedro de Macoris,San Pedro de Macorís,Dominican Republic
Monte Cristi,Monte Cristi,Dominican Republic
Barahona,Barahona,Dominican Republic
Bavaro,La Altagracia,Dominican Republic
La Romana,La Romana,Dominican Republic
San Juan,San Juan,Dominican Republic
Santiago,Santiago,Dominican Republic
Santo Domingo,Distrito Nacional,Dominican Republic
Dili,Dili,East Timor
Puyo,Pastaza,Ecuador
Tulcan,Carchi,Ecuador
Pinas,El Oro,Ecuador
Puerto Villamil,Galápagos,Ecuador
Puerto Baquerizo Moreno,Galápagos,Ecuador
Guaranda,Bolivar,Ecuador
Azogues,Cañar,Ecuador
Salinas,Guayas,Ecuador
Alausi,Chimborazo,Ecuador
Sangolqui,Pichincha,Ecuador
Muisne,Esmeraldas,Ecuador
San Gabriel,Carchi,Ecuador
Macara,Loja,Ecuador
Zamora,Zamora Chinchipe,Ecuador
Latacunga,Cotopaxi,Ecuador
Milagro,Guayas,Ecuador
Babahoyo,Los Rios,Ecuador
Chone,Manabi,Ecuador
Jipijapa,Manabi,Ecuador
Yaupi,Morona Santiago,Ecuador
Macas,Morona Santiago,Ecuador
Cayambe,Pichincha,Ecuador
Ambato,Napo,Ecuador
Tena,Tungurahua,Ecuador
Valdez,Esmeraldas,Ecuador
San Lorenzo,Esmeraldas,Ecuador
Esmeraldas,Esmeraldas,Ecuador
Ibarra,Imbabura,Ecuador
Portoviejo,Manabi,Ecuador
Machala,El Oro,Ecuador
Loja,Loja,Ecuador
Manta,Manabi,Ecuador
Riobamba,Chimborazo,Ecuador
